event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag,success
ae00002,c0595,o00950,13/02/2024 22:29,search_route,s32766,android,south,60,TRUE,1
ae00003,c0494,o00170,11/08/2025 09:29,chat_opened,s99516,ios,airport,1118,TRUE,1
ae00004,c0407,o00756,23/08/2025 17:38,eta_refresh,s41236,ios,central,442,TRUE,1
ae00006,c0498,o01196,08/02/2025 09:50,track_order,s66655,web,west,499,TRUE,1
ae00007,c0033,o00028,20/04/2025 19:06,chat_opened,s79495,android,south,169,TRUE,1
ae00008,c0091,o00076,18/08/2024 02:08,search_route,s59028,android,ctr,431,TRUE,1
ae00009,c0421,o01222,20/07/2025 11:46,eta_refresh,s76526,web,north,609,TRUE,1
ae00010,c0553,o00854,10/07/2024 13:11,chat_opened,s24618,android,west,167,TRUE,1
ae00011,c0643,o00192,10/05/2025 11:23,delivery_instruction_update,s22799,ios,ctr,182,TRUE,1
ae00012,c0095,o01080,10/12/2025 19:11,chat_escalated,s57519,android,ctr,60,TRUE,1
ae00013,c0479,o00414,28/05/2024 15:11,chat_escalated,s37114,web,west,399,FALSE,0
ae00014,c0626,o01054,04/04/2025 13:19,track_order,s75243,android,airport,998,TRUE,1
ae00015,c0014,o00860,16/08/2024 15:27,chat_opened,s71663,android,west,238,TRUE,1
ae00017,c0170,o00424,04/04/2024 06:22,chat_escalated,s30048,android,north,624,FALSE,0
ae00018,c0530,o00295,12/11/2025 08:58,delivery_instruction_update,s76990,android,north,626,TRUE,1
ae00019,c0179,o00628,31/03/2025 17:14,track_order,s88326,android,south,707,TRUE,1
ae00020,c0116,o01065,25/10/2025 19:05,chat_opened,s81897,android,north,196,TRUE,1
ae00022,c0188,o00844,28/03/2024 22:47,delivery_instruction_update,s29750,ios,south,760,TRUE,1
ae00023,c0543,o00854,16/10/2024 14:48,chat_opened,s76975,ios,north,644,TRUE,1
ae00024,c0022,o01082,11/03/2024 19:51,track_order,s59171,android,east,60,TRUE,1
ae00026,c0490,o00330,16/11/2024 23:54,eta_refresh,s93151,android,north,388,TRUE,1
ae00027,c0574,o00077,12/05/2024 06:04,delivery_instruction_update,s14580,ios,riverside,886,TRUE,1
ae00030,c0455,o00229,07/06/2025 02:10,chat_opened,s74816,ios,west,403,TRUE,1
ae00031,c0241,o01158,09/06/2024 05:13,track_order,s52070,ios,airport,1660,TRUE,1
ae00032,c0226,o00402,20/09/2025 00:20,search_route,s18892,android,east,632,TRUE,1
ae00033,c0587,o00742,03/01/2025 09:32,track_order,s56165,android,north,520,TRUE,1
ae00036,c0007,o00977,03/05/2025 17:47,chat_escalated,s19561,ios,ctr,362,FALSE,0
ae00038,c0166,o00475,25/09/2025 11:47,eta_refresh,s10481,ios,west,324,TRUE,1
ae00040,c0532,o01015,17/11/2025 09:32,search_route,s82851,ios,west,724,TRUE,1
ae00041,c0075,o00349,24/05/2025 04:19,track_order,s44614,android,riverside,670,TRUE,1
ae00042,c0409,o00044,18/09/2024 07:02,search_route,s80779,ios,north,524,TRUE,1
ae00043,c0200,o00954,27/11/2024 18:10,eta_refresh,s78974,android,west,287,TRUE,1
ae00044,c0633,o01022,04/06/2025 17:13,search_route,s44218,android,central,588,TRUE,1
