delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,missing_proof,delivery_duration_hours
dl00001,o00938,d004,v056,h05,18/06/2024 10:57,05:59.9,failed,17.26,1,FALSE,3.07,12.05,0,22.15
dl00002,o00004,d138,v007,h02,11/01/2025 18:45,39:00.0,ontime,10.34,1,FALSE,5,13.41,0,-1.1
dl00003,o00639,d006,v049,h02,02/06/2025 20:39,45:32.4,ontime,7.92,0,FALSE,4.98,8.51,0,1.11
dl00004,o00313,d116,v055,h02,08/03/2024 23:31,30:08.1,delayed,16.42,0,FALSE,4.18,13.62,0,23.99
dl00005,o00844,d108,v034,h01,21/09/2025 11:43,45:34.1,ontime,14.52,1,FALSE,4.18,9.22,0,4.04
dl00006,o00029,d037,v098,h03,11/09/2024 12:40,11:52.4,delayed,13.84,0,FALSE,1.57,9.58,0,28.53
dl00007,o00097,d151,v037,h07,09/01/2024 13:41,39:11.1,delayed,32.72,0,FALSE,4.64,17.7,0,33.97
dl00008,o00207,d082,v066,h03,22/08/2024 21:34,22:21.5,ontime,7.16,1,FALSE,3.76,11.66,0,1.81
dl00009,o00297,d088,v029,h05,12/04/2024 21:33,18:52.7,ontime,40.23,1,FALSE,3.7,15.78,0,3.76
dl00010,o00836,d058,v057,h08,22/09/2025 19:09,15:29.2,failed,9.85,1,FALSE,3.2,9.31,0,6.11
dl00011,o00202,d074,v117,h04,02/02/2024 03:09,29:05.4,ontime,13.85,0,FALSE,4.36,15.17,0,-0.67
dl00013,o01031,d105,v085,h04,26/01/2025 08:29,33:30.8,ontime,6.01,2,FALSE,3.96,11.52,0,2.08
dl00014,o00725,d102,v008,h05,07/05/2024 12:40,50:43.8,ontime,16.46,0,FALSE,3.67,11.74,0,8.18
dl00015,o00394,d067,v056,h04,16/08/2024 22:47,15:56.1,ontime,26.58,3,FALSE,4.47,21.64,0,9.48
dl00016,o01220,d010,v091,h08,12/06/2025 01:47,51:00.8,ontime,18.25,1,FALSE,5,12.61,0,3.07
dl00017,o01249,d002,v008,h05,25/08/2024 18:26,05:42.1,delayed,20.79,0,FALSE,1,15.62,0,8.66
dl00018,o00611,d011,v001,h01,29/07/2025 10:52,54:19.9,ontime,13.67,0,FALSE,4.46,16.18,0,-0.96
dl00019,o01167,d026,v004,h06,25/06/2024 23:58,52:41.3,ontime,16.35,4,FALSE,4.97,13.97,0,7.91
dl00020,o00054,d157,v065,h01,29/03/2025 12:59,40:37.8,ontime,24.31,0,FALSE,4.15,12.61,0,1.69
dl00021,o00250,d117,v081,h08,24/04/2025 14:20,20:52.9,ontime,9.77,4,FALSE,4.07,6.43,0,21.01
dl00022,o01027,d088,v011,h07,24/08/2025 00:21,25:39.7,failed,15.81,0,FALSE,3.5,15.62,0,4.08
dl00023,o00768,d046,v021,h08,12/06/2025 01:16,37:11.4,ontime,4.29,1,FALSE,5,2.5,0,1.35
dl00024,o01054,d045,v029,h02,19/08/2025 14:33,11:44.6,ontime,8.58,0,FALSE,4.78,14.62,0,3.65
dl00025,o00288,d130,v098,h04,08/09/2025 19:57,37:15.7,ontime,7.41,0,FALSE,5,7.2,0,2.67
