driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag
d001,airport,fulltime,8,67.8,3.54,morning,TRUE
d002,central,fulltime,4,42.4,3.94,evening,TRUE
d003,airport,fulltime,11,96.5,5,evening,TRUE
d004,airport,parttime,13,88.9,4.75,morning,TRUE
d005,north,fulltime,3,69.7,4.14,morning,TRUE
d006,central,fulltime,8,78.8,4.38,flexible,TRUE
d007,north,fulltime,4,92.6,3.94,evening,TRUE
d008,south,fulltime,9,84.1,3.88,morning,TRUE
d009,airport,fulltime,15,63.4,3.8,night,TRUE
d010,west,fulltime,8,70,3.95,evening,TRUE
d011,east,fulltime,3,89.4,3.85,night,TRUE
d012,south,fulltime,10,95.1,4.48,night,TRUE
d013,west,fulltime,11,80.8,4.31,morning,TRUE
d014,north,fulltime,6,76.1,4.7,evening,TRUE
d015,east,fulltime,11,85.1,4.34,morning,TRUE
d016,airport,fulltime,6,81.9,4.31,evening,TRUE
d018,west,parttime,14,73.8,4.57,flexible,TRUE
d019,riverside,fulltime,11,73.4,3.82,flexible,FALSE
d021,south,fulltime,7,91.8,4.24,evening,TRUE
d022,east,fulltime,9,68.7,3.36,flexible,TRUE
d023,east,fulltime,11,79.1,4.16,night,TRUE
d024,riverside,parttime,8,71.4,3.35,evening,TRUE
d025,north,fulltime,1,86.4,3.72,morning,TRUE
d026,north,parttime,4,84.9,3.15,night,FALSE
d027,airport,parttime,12,74.3,3.7,night,TRUE
d028,north,fulltime,11,83,4.07,flexible,TRUE
d029,east,contract,2,70.2,3.84,flexible,TRUE
d030,central,fulltime,7,74,4.56,night,TRUE
d031,north,fulltime,10,91.5,4.03,flexible,TRUE
d032,east,parttime,6,81.5,3.99,evening,TRUE
d033,south,parttime,9,59.8,4.05,night,TRUE
d034,west,fulltime,11,71.3,4.27,morning,TRUE
d035,central,fulltime,5,66.2,3.71,flexible,FALSE
d036,airport,parttime,9,79.3,4.69,morning,TRUE
d037,north,parttime,7,63.9,4.67,morning,TRUE
d038,south,fulltime,5,67.4,3.72,evening,TRUE
d039,airport,contract,7,86.1,4.06,evening,TRUE
d040,riverside,fulltime,7,55.6,4.4,night,TRUE
d041,east,parttime,3,88.2,3.67,morning,TRUE
d042,north,fulltime,9,70.5,3.37,night,TRUE
d043,north,fulltime,13,80.3,4.6,evening,FALSE
d044,airport,fulltime,11,79.4,4.05,night,TRUE
d045,north,fulltime,2,59.6,4.12,flexible,TRUE
d046,south,fulltime,5,82.2,4.06,morning,TRUE
d047,south,fulltime,7,64.6,4.7,morning,TRUE
d048,east,fulltime,7,76.3,3.45,flexible,TRUE
d049,central,contract,14,41.4,4,morning,TRUE
d050,north,fulltime,6,87.4,3.9,evening,TRUE
d051,west,fulltime,3,75.4,3.58,evening,TRUE
d052,riverside,fulltime,8,71.7,3.39,morning,TRUE
d053,west,fulltime,5,83.3,3.8,morning,TRUE
d054,west,fulltime,3,80.1,4.32,morning,TRUE
d055,central,fulltime,15,90.5,5,flexible,TRUE
d056,west,fulltime,12,74.6,4.45,evening,TRUE
d057,west,fulltime,6,75,4.25,morning,TRUE
d058,airport,fulltime,9,82.7,4.27,flexible,TRUE
d059,north,fulltime,7,82.8,4.22,night,TRUE
d060,south,fulltime,4,76,4.49,morning,TRUE
d061,riverside,contract,8,85.9,4.38,evening,TRUE
d062,south,fulltime,10,62.4,4.48,flexible,TRUE
d063,north,parttime,12,85.7,4.03,morning,TRUE
d064,south,parttime,14,88.9,4.18,morning,TRUE
d065,riverside,fulltime,14,59.6,4.02,morning,TRUE
d066,south,parttime,1,83.3,4.13,flexible,TRUE
d067,west,fulltime,11,77,4.84,morning,TRUE
d068,central,parttime,10,83.9,3.99,flexible,TRUE
d069,north,parttime,2,61.5,5,evening,FALSE
d070,south,fulltime,9,67,5,flexible,TRUE
d071,central,parttime,12,56.7,4.49,evening,TRUE
d072,south,fulltime,10,75.8,4.47,evening,TRUE
d073,east,fulltime,11,76.9,4.58,evening,TRUE
d074,central,fulltime,12,79.5,4.61,evening,TRUE
d075,airport,fulltime,13,99,3.62,evening,TRUE
d076,east,fulltime,15,61.6,3.88,morning,TRUE
d077,south,fulltime,8,64.9,3.68,morning,TRUE
d078,north,fulltime,11,73.7,4.28,morning,TRUE
d081,riverside,parttime,1,82,4.78,flexible,TRUE
d082,west,parttime,14,74.1,4.63,evening,TRUE
d083,north,fulltime,12,80.8,4.16,flexible,TRUE
d084,central,parttime,2,47.2,3.99,evening,TRUE
d085,north,parttime,9,84.5,4.11,evening,FALSE
d086,north,parttime,14,70.6,5,flexible,TRUE
d087,north,contract,13,73.3,4.43,night,TRUE
d088,riverside,contract,4,84.3,4.17,morning,TRUE
d089,central,fulltime,2,71.1,4.57,night,TRUE
d090,north,fulltime,8,58,3.78,morning,TRUE
d091,riverside,fulltime,12,68,4.46,night,TRUE
d092,east,fulltime,15,88.2,4.24,evening,TRUE
d093,south,parttime,12,75.2,4.43,flexible,TRUE
d094,central,parttime,6,60.8,4.48,night,FALSE
d095,west,fulltime,12,99,3.15,night,TRUE
d096,central,fulltime,4,56.4,4.03,morning,TRUE
d097,west,fulltime,2,79.1,4.48,flexible,TRUE
d098,south,contract,3,70.9,4.29,morning,TRUE
d099,north,contract,10,82.7,3.48,night,TRUE
d100,central,fulltime,4,62,4.31,flexible,TRUE
d101,west,fulltime,8,75.6,4.48,morning,TRUE
d102,east,parttime,10,67.6,4.62,morning,TRUE
d103,central,fulltime,15,72.5,4.4,morning,TRUE
d104,west,fulltime,15,87.7,3.45,morning,TRUE
d105,riverside,contract,2,82,3.71,morning,TRUE
d106,central,contract,12,71.9,3.66,morning,TRUE
d107,riverside,fulltime,14,57,4.82,flexible,TRUE
d108,south,fulltime,10,70.6,4.33,morning,TRUE
d109,central,contract,14,68.1,3.94,morning,TRUE
d110,riverside,contract,7,40.6,4.1,morning,TRUE
d111,airport,fulltime,15,79.2,4.12,night,TRUE
d112,east,fulltime,14,79.1,4.51,morning,TRUE
d113,airport,parttime,8,70.5,4.47,evening,TRUE
d114,central,fulltime,2,57.4,4.07,evening,TRUE
d115,south,fulltime,11,69.5,4.77,morning,TRUE
d116,central,fulltime,4,58.2,4.19,morning,TRUE
d117,north,fulltime,1,71.1,3.93,flexible,TRUE
d118,north,fulltime,1,80.6,4.88,night,TRUE
d119,south,fulltime,5,56,3.55,flexible,TRUE
d120,north,parttime,3,76.9,3.72,morning,TRUE
d122,south,fulltime,2,63.5,4.29,morning,TRUE
d123,riverside,fulltime,3,93.5,4.12,flexible,TRUE
d124,north,fulltime,4,70.6,3.78,night,TRUE
d125,north,parttime,15,90.5,4.07,morning,TRUE
d126,east,parttime,9,69.7,4.1,evening,TRUE
d127,central,fulltime,10,61.5,4.19,morning,TRUE
d128,central,contract,13,84.7,3.32,morning,TRUE
d129,north,fulltime,10,64.9,4.18,night,TRUE
d130,west,fulltime,8,71.2,3.64,evening,TRUE
d131,south,fulltime,9,86.7,4.26,night,FALSE
d132,south,contract,8,77.6,4.2,evening,TRUE
