incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours
i0001,dl00221,batteryalert,11/03/2024,medium,escalated,12.3
i0002,dl00578,batteryalert,21/02/2024,low,open,9.6
i0003,dl00175,temperatureissue,17/04/2025,medium,open,22
i0004,dl00417,proofmissing,09/02/2025,medium,closed,9.8
i0005,dl00897,routedeviation,04/01/2025,low,open,13
i0006,dl00634,customernoshow,08/08/2025,high,pendingvendor,19.9
i0007,dl00495,appsyncerror,23/05/2024,low,pendingvendor,4.8
i0008,dl00602,routedeviation,17/08/2024,medium,closed,12.1
i0009,dl00636,customernoshow,24/08/2024,medium,closed,15.8
i0010,dl00052,customernoshow,06/05/2025,medium,closed,9.4
i0011,dl00376,customernoshow,21/09/2024,medium,closed,20.4
i0012,dl00366,routedeviation,24/07/2025,medium,escalated,18.7
i0013,dl00253,batteryalert,30/09/2024,high,closed,20.9
i0014,dl00075,vehiclefault,06/08/2024,high,open,5
i0016,dl00724,appsyncerror,10/10/2024,low,pendingvendor,18.7
i0018,dl00574,appsyncerror,08/11/2025,high,closed,10.5
i0019,dl00685,batteryalert,12/02/2024,high,closed,11.3
i0020,dl00921,temperatureissue,04/01/2025,critical,closed,3.3
i0021,dl00186,safetynearmiss,14/01/2024,medium,escalated,4.8
i0022,dl00097,batteryalert,17/07/2024,medium,escalated,26.8
i0023,dl00904,proofmissing,19/08/2025,medium,escalated,4.8
i0024,dl00850,proofmissing,30/08/2025,low,closed,12
i0025,dl00413,batteryalert,30/08/2024,medium,pendingvendor,5.7
i0026,dl00254,routedeviation,29/12/2024,high,closed,16.8
i0027,dl00474,vehiclefault,25/02/2025,medium,closed,4.3
i0028,dl00479,routedeviation,03/11/2024,low,closed,21.2
i0029,dl00198,vehiclefault,08/12/2024,medium,open,11.8
i0030,dl00448,routedeviation,30/08/2024,low,escalated,20.9
i0031,dl00587,proofmissing,12/01/2024,low,escalated,16.7
i0032,dl00181,vehiclefault,26/08/2024,low,open,11.3
i0033,dl00694,batteryalert,31/03/2024,medium,open,4.3
i0034,dl00684,appsyncerror,06/02/2024,medium,pendingvendor,23.7
i0035,dl00882,appsyncerror,26/06/2024,low,closed,0.8
i0036,dl00272,vehiclefault,02/09/2025,low,closed,7.8
i0037,dl00938,temperatureissue,04/04/2024,high,closed,13.3
i0038,dl00032,proofmissing,29/01/2025,medium,closed,5.2
i0039,dl00208,safetynearmiss,13/04/2024,high,closed,2.6
i0040,dl00573,proofmissing,08/05/2024,medium,escalated,8.1
i0041,dl00072,safetynearmiss,20/11/2025,medium,closed,17.3
i0042,dl00547,temperatureissue,07/10/2025,medium,closed,22.7
i0043,dl00009,appsyncerror,12/04/2024,low,open,20.1
i0044,dl00590,proofmissing,31/08/2024,critical,closed,3.2
i0045,dl00341,batteryalert,14/11/2024,medium,open,12.2
i0046,dl00014,proofmissing,07/05/2024,high,pendingvendor,6.9
i0047,dl00919,safetynearmiss,26/12/2025,medium,open,23.6
i0048,dl00265,routedeviation,28/06/2024,low,closed,2.2
i0049,dl00493,batteryalert,09/08/2025,medium,closed,24.3
i0050,dl00207,customernoshow,17/03/2024,high,open,20.9
i0051,dl00365,customernoshow,05/09/2025,low,pendingvendor,24.8
i0052,dl00690,vehiclefault,12/12/2024,medium,open,21.6
i0053,dl00864,proofmissing,27/10/2025,critical,escalated,11.9
