order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag
o00001,c0292,passenger,20/08/2024,6,airport,south,medium,126.65,app,FALSE
o00002,c0459,passenger,14/05/2024,24,north,airport,low,109.3,app,FALSE
o00003,c0161,passenger,02/09/2025,4,west,airport,high,33.5,phone,FALSE
o00004,c0520,parcel,11/01/2025,2,riverside,north,medium,10.04,app,TRUE
o00005,c0558,retail,17/02/2025,12,riverside,south,low,125.58,phone,FALSE
o00006,c0437,retail,05/08/2024,1,central,east,high,151.44,web,TRUE
o00007,c0001,business,05/05/2024,2,central,airport,low,76.12,app,FALSE
o00008,c0157,parcel,03/04/2024,4,riverside,riverside,medium,35.06,phone,FALSE
o00009,c0141,retail,03/10/2024,12,north,east,critical,78.93,app,FALSE
o00010,c0171,retail,29/01/2025,6,south,north,low,34.55,phone,FALSE
o00011,c0340,parcel,04/08/2025,12,west,central,low,79.1,phone,FALSE
o00012,c0567,business,16/01/2024,12,east,airport,medium,135.67,app,FALSE
o00013,c0234,retail,29/03/2024,24,airport,central,medium,302.7,app,FALSE
o00014,c0318,passenger,25/08/2024,6,ctr,ctr,low,90.96,phone,FALSE
o00015,c0300,business,09/11/2025,6,south,east,high,145.58,web,FALSE
o00016,c0022,parcel,29/07/2025,6,central,ctr,medium,92.66,app,FALSE
o00017,c0499,parcel,27/05/2025,24,airport,south,low,60.9,app,FALSE
o00018,c0506,passenger,08/03/2024,6,north,riverside,high,121.11,phone,FALSE
o00019,c0425,passenger,31/03/2024,6,north,central,low,56.26,phone,FALSE
o00020,c0249,retail,09/05/2024,2,west,airport,medium,100.78,app,FALSE
o00021,c0218,passenger,16/10/2024,2,west,north,medium,49.99,web,FALSE
o00022,c0594,retail,20/04/2025,12,riverside,central,medium,134.88,phone,FALSE
o00023,c0077,passenger,05/10/2025,4,north,north,medium,122.25,app,FALSE
o00024,c0397,passenger,10/10/2024,6,south,riverside,high,132.2,app,TRUE
o00025,c0297,passenger,10/01/2025,6,north,riverside,critical,66.51,app,FALSE
o00026,c0193,parcel,10/11/2025,24,east,west,high,51.09,app,FALSE
o00027,c0024,parcel,26/02/2025,4,riverside,north,medium,96.62,app,FALSE
o00028,c0160,retail,21/12/2025,4,north,south,high,59.44,app,FALSE
o00029,c0366,medical,11/09/2024,24,east,ctr,medium,190.94,web,FALSE
o00030,c0406,medical,05/10/2025,12,north,east,low,44.84,app,FALSE
o00031,c0573,passenger,25/10/2024,24,east,airport,medium,55.14,app,FALSE
o00032,c0297,passenger,15/09/2025,1,central,east,medium,126.43,app,TRUE
o00033,c0471,retail,30/12/2025,6,north,east,low,36.7,phone,TRUE
o00034,c0023,retail,18/02/2025,2,north,south,low,40.88,app,FALSE
o00035,c0524,business,14/06/2024,4,north,central,medium,209.07,web,FALSE
o00036,c0126,parcel,06/11/2024,4,riverside,north,medium,73.14,app,FALSE
o00037,c0015,retail,10/02/2024,24,east,airport,low,119.31,phone,FALSE
o00038,c0142,retail,06/10/2025,2,riverside,east,medium,168.48,phone,FALSE
o00039,c0351,parcel,01/08/2025,6,east,riverside,low,54.85,web,TRUE
o00040,c0014,parcel,24/05/2025,1,north,airport,low,74.65,app,FALSE
o00041,c0243,retail,17/09/2024,12,riverside,west,low,19.15,app,FALSE
o00042,c0606,retail,01/12/2025,24,riverside,ctr,medium,133.72,phone,TRUE
o00043,c0416,retail,01/01/2024,12,east,riverside,medium,48.59,app,FALSE
o00044,c0227,business,02/11/2025,4,west,riverside,medium,61.45,phone,TRUE
o00046,c0538,parcel,13/12/2025,4,north,central,high,85.48,app,FALSE
o00047,c0220,medical,28/11/2025,2,west,north,medium,39.57,app,FALSE
o00048,c0145,medical,22/11/2024,4,riverside,north,low,43.37,app,FALSE
o00049,c0380,passenger,19/12/2024,2,west,south,low,66.46,phone,TRUE
o00050,c0544,passenger,29/03/2024,1,north,ctr,low,33.93,app,FALSE
o00051,c0185,business,07/02/2025,12,airport,east,critical,14.48,web,TRUE
o00052,c0150,retail,14/08/2024,12,north,riverside,medium,293.65,app,FALSE
o00053,c0054,parcel,02/04/2024,24,east,east,low,73.56,app,FALSE
o00054,c0478,medical,29/03/2025,4,north,north,low,54.41,web,FALSE
o00055,c0454,retail,30/05/2025,2,airport,riverside,medium,73.7,app,FALSE
o00056,c0271,parcel,05/10/2025,4,south,central,high,160.35,web,FALSE
o00057,c0226,business,04/06/2025,4,east,north,medium,194.03,app,FALSE
o00058,c0083,passenger,16/12/2025,2,south,east,critical,51.95,web,FALSE
o00059,c0640,passenger,20/11/2025,2,central,airport,medium,20.32,web,FALSE
o00060,c0258,medical,10/05/2024,6,north,east,critical,37.52,web,FALSE
o00061,c0289,passenger,12/07/2024,6,airport,north,high,238.9,web,TRUE
o00062,c0177,passenger,26/07/2025,4,west,airport,medium,45.44,web,FALSE
o00063,c0168,retail,13/07/2025,12,south,airport,low,57.56,app,FALSE
o00064,c0346,business,14/10/2025,12,central,riverside,high,45.43,app,FALSE
o00065,c0285,parcel,23/09/2024,4,south,west,high,61.59,app,FALSE
o00066,c0421,passenger,21/06/2024,4,south,east,low,237.58,app,FALSE
o00067,c0339,passenger,25/02/2025,6,west,west,critical,131.1,web,FALSE
o00068,c0084,parcel,13/10/2025,2,riverside,east,medium,40.58,app,FALSE
o00069,c0369,passenger,19/05/2024,12,airport,riverside,medium,103.29,phone,TRUE
o00070,c0125,retail,13/05/2025,4,ctr,airport,low,165.63,app,FALSE
o00071,c0109,medical,31/08/2024,1,north,south,low,157.58,phone,FALSE
o00072,c0060,medical,07/01/2024,2,west,riverside,medium,7.32,app,FALSE
o00073,c0331,passenger,31/03/2025,4,ctr,south,high,30.82,app,FALSE
o00074,c0644,parcel,18/10/2025,6,riverside,riverside,critical,20.6,app,FALSE
o00075,c0026,business,02/11/2024,2,north,east,medium,85.65,web,FALSE
o00076,c0075,retail,25/12/2025,4,ctr,riverside,low,100.62,phone,FALSE
o00077,c0543,medical,30/07/2025,4,riverside,central,low,150.98,app,FALSE
o00078,c0434,parcel,06/10/2025,6,west,riverside,medium,94.04,app,FALSE
o00079,c0353,parcel,10/03/2025,2,west,airport,medium,48.85,app,FALSE
o00080,c0082,parcel,13/11/2025,4,south,south,medium,135.71,app,FALSE
o00081,c0004,passenger,17/04/2025,6,west,airport,low,208.38,app,FALSE
o00082,c0531,retail,30/07/2024,12,central,west,medium,36.55,app,FALSE
o00083,c0215,medical,23/10/2024,2,airport,south,low,127.88,app,FALSE
o00084,c0103,passenger,13/05/2025,4,west,north,high,157.73,phone,TRUE
o00085,c0505,passenger,02/03/2024,4,north,riverside,low,23.13,app,FALSE
o00086,c0255,passenger,20/07/2024,4,central,airport,high,66.09,app,FALSE
