vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version
v001,ev,north,28/12/2024,71.8,56928,active,v2.2
v002,ev,airport,21/04/2024,67.9,159368,inrepair,v2.2
v003,cargovan,north,24/11/2025,91.7,219359,active,v2.1
v005,cargovan,west,15/11/2025,58.6,146638,active,v2.2
v006,ev,central,22/11/2025,78.6,141381,active,v2.1
v007,diesel,airport,17/09/2025,68.6,78468,active,v2.2
v008,ev,riverside,14/06/2025,90.5,49711,active,v2.0
v009,cargovan,south,01/05/2025,68.8,156687,active,v2.1
v010,cargovan,north,07/10/2025,50.7,129032,inrepair,v2.1
v011,diesel,riverside,21/12/2025,74.1,43518,inrepair,v2.1
v012,hybrid,south,15/04/2024,56.2,52021,active,v2.1
v013,cargovan,west,17/07/2025,68.3,153106,scheduled,v2.0
v014,ev,airport,24/05/2025,100,206339,scheduled,v2.0
v015,cargovan,airport,02/06/2024,78.2,67614,inrepair,v1.9
v016,ev,west,13/10/2024,63.5,84395,active,v2.1
v017,hybrid,riverside,23/04/2024,82.4,169703,inrepair,v2.2
v018,diesel,riverside,08/04/2025,86.8,98363,scheduled,v2.1
v019,diesel,south,21/10/2024,70.4,151460,scheduled,v2.2
v020,hybrid,riverside,26/10/2024,82.3,187051,scheduled,v2.1
v021,diesel,central,22/06/2025,83,71294,active,v2.2
v022,hybrid,south,28/01/2025,89.6,44499,scheduled,v2.1
v023,hybrid,east,07/01/2024,70.7,188387,active,v2.1
v024,ev,east,26/05/2025,74.9,56967,active,v2.1
v025,diesel,airport,03/11/2024,42,52074,active,v2.1
v026,cargovan,riverside,07/11/2024,78.7,200276,inrepair,v2.2
v027,diesel,south,12/08/2025,78.6,51052,inrepair,v2.2
v028,ev,east,25/08/2024,75.4,149698,active,v2.0
v030,cargovan,north,14/09/2025,78,134360,active,v2.1
v031,ev,east,28/07/2024,89.3,193526,active,v1.9
v032,cargovan,north,11/01/2024,74.1,102207,active,v1.9
v033,ev,airport,19/09/2024,78.6,55241,inrepair,v2.2
v034,ev,riverside,24/05/2025,94.2,210683,inrepair,v2.0
v035,cargovan,east,03/07/2025,83.6,73804,active,v2.0
v036,diesel,north,26/09/2025,90.4,215767,inrepair,v2.1
v037,cargovan,south,13/06/2025,56.6,52146,inrepair,v1.9
v038,cargovan,central,16/03/2025,81.6,68032,active,v2.1
v039,ev,east,01/01/2025,69.5,37024,inrepair,v1.9
v040,ev,central,23/11/2025,90,133770,active,v2.0
v041,ev,east,11/01/2024,78.4,88129,active,v2.2
v042,ev,east,21/06/2025,80.5,215870,inrepair,v1.9
v043,ev,south,23/02/2025,76.4,149922,scheduled,v2.0
v044,ev,airport,14/02/2025,91.8,111243,active,v2.2
v045,ev,east,10/08/2025,88,190688,active,v2.2
v046,ev,north,11/07/2024,95.8,101425,active,v1.9
v047,ev,ctr,15/02/2025,93.7,134347,scheduled,v2.2
v048,diesel,central,01/10/2025,76.1,87659,active,v2.1
v049,diesel,east,09/12/2025,55.9,15278,active,v2.2
v050,ev,riverside,04/04/2024,96.5,114188,active,v2.1
v051,ev,north,21/11/2024,87.8,141107,active,v2.0
v052,hybrid,riverside,14/11/2024,95.4,182486,active,v1.9
v053,cargovan,west,23/04/2024,73.7,122638,scheduled,v2.0
v054,hybrid,north,28/10/2024,76.7,90558,scheduled,v2.2
v055,hybrid,east,05/06/2025,83.3,85635,active,v2.1
v056,ev,central,09/06/2024,78.4,29849,active,v2.2
v057,ev,riverside,07/06/2025,76,160770,inrepair,v2.0
v058,hybrid,central,11/07/2024,74.1,15138,active,v2.0
v059,hybrid,airport,02/03/2024,85.2,188332,inrepair,v2.1
