complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
cp0001,c0464,o00814,appissue,app,high,2025-03-30,open,11,23.99
cp0002,c0056,o00628,missedpickup,phone,medium,2024-11-07,open,4,21.64
cp0003,c0469,o00384,delay,chatbot,high,2024-01-02,open,16,26.41
cp0004,c0631,o00406,delay,app,medium,2025-01-14,awaitingcustomer,7,23.44
cp0005,c0535,o00154,delay,email,medium,2024-08-31,resolved,1,16.18
cp0006,c0096,o00147,delay,app,medium,2024-07-22,resolved,9,18.51
cp0007,c0597,o00981,missedpickup,app,medium,2025-01-15,escalated,4,14.14
cp0009,c0340,o00011,delay,app,low,2025-08-16,resolved,4,26.35
cp0010,c0486,o00417,driverbehaviour,phone,medium,2025-01-13,open,1,6.32
cp0011,c0618,o00437,delay,app,medium,2025-09-29,open,15,19.97
cp0012,c0362,o00504,appissue,email,high,2024-09-20,resolved,12,33.8
cp0013,c0157,o00008,missedpickup,phone,medium,2024-04-08,resolved,8,15.77
cp0014,c0545,o00980,billing,chatbot,medium,2024-11-30,resolved,14,7.08
cp0015,c0486,o00417,delay,chatbot,low,2025-01-18,open,4,0.0
cp0016,c0234,o00013,missedpickup,app,medium,2024-03-30,resolved,10,0.0
cp0017,c0346,o01181,delay,phone,medium,2024-03-06,resolved,1,1.16
cp0018,c0100,o01151,missedpickup,chatbot,medium,2024-07-05,resolved,1,9.39
cp0019,c0228,o00702,appissue,app,medium,2025-01-07,resolved,1,19.24
cp0020,c0371,o01043,driverbehaviour,phone,high,2024-08-04,resolved,11,33.27
cp0021,c0354,o00353,delay,chatbot,medium,2024-01-09,resolved,5,26.95
cp0022,c0516,o00117,damage,chatbot,low,2024-06-18,awaitingcustomer,10,15.62
cp0023,c0193,o00953,driverbehaviour,app,low,2025-04-03,resolved,14,0.93
cp0025,c0617,o00654,delay,app,medium,2025-06-19,resolved,4,11.64
cp0026,c0408,o00810,supportexperience,app,medium,2024-04-16,resolved,13,18.44
cp0027,c0626,o00948,delay,email,low,2025-05-19,resolved,1,2.18
cp0028,c0242,o00920,delay,phone,medium,2024-08-02,resolved,1,13.31
cp0029,c0477,o00715,missedpickup,chatbot,medium,2025-06-27,resolved,9,4.01
cp0030,c0529,o00682,delay,email,high,2024-10-07,escalated,22,34.84
cp0031,c0618,o00886,billing,phone,medium,2024-12-11,escalated,2,30.35
cp0032,c0185,o00051,billing,phone,medium,2025-02-14,resolved,7,7.09
cp0033,c0489,o00848,missedpickup,app,medium,2025-06-13,resolved,8,34.92
cp0034,c0070,o00105,driverbehaviour,app,medium,2024-07-13,awaitingcustomer,1,4.09
cp0035,c0206,o00650,delay,email,low,2025-10-03,resolved,5,0.0
cp0036,c0282,o00751,delay,app,medium,2024-07-08,awaitingcustomer,2,42.3
cp0037,c0561,o00270,missedpickup,chatbot,medium,2025-11-05,awaitingcustomer,18,7.33
cp0038,c0562,o00175,delay,chatbot,medium,2025-12-19,resolved,1,19.48
cp0039,c0231,o00797,delay,email,high,2025-03-28,resolved,14,24.39
cp0041,c0146,o00744,missedpickup,chatbot,medium,2025-04-27,open,9,30.4
cp0042,c0361,o00094,supportexperience,email,medium,2024-10-06,resolved,4,26.2
cp0043,c0497,o00411,appissue,app,medium,2025-04-16,resolved,11,15.35
cp0044,c0549,o00838,missedpickup,email,high,2025-01-28,resolved,11,25.0
cp0045,c0599,o00421,driverbehaviour,email,medium,2025-07-24,awaitingcustomer,6,8.74
cp0046,c0269,o00573,missedpickup,email,high,2024-04-27,resolved,9,60.3
cp0047,c0012,o01157,appissue,phone,medium,2024-07-09,resolved,11,19.21
cp0048,c0393,o00576,missedpickup,phone,high,2024-09-14,resolved,22,22.5
cp0049,c0146,o00126,driverbehaviour,email,medium,2024-05-27,resolved,4,19.76
cp0050,c0163,o00955,driverbehaviour,phone,high,2025-01-11,resolved,14,37.36
cp0051,c0274,o00863,appissue,phone,medium,2025-09-22,resolved,2,3.9
cp0052,c0157,o00115,supportexperience,app,low,2024-02-25,escalated,3,0.0
