customer_id,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status
c0001,26,north,sme,2024-11-27,44.9,69.2,app,active
c0002,61,airport,consumer,2025-10-28,55.4,66.6,app,active
c0004,75,central,consumer,2025-08-19,32.5,33.0,app,active
c0005,26,riverside,consumer,2025-06-03,55.9,100.0,web,active
c0006,41,west,consumer,2024-03-29,39.9,43.3,web,active
c0007,54,west,consumer,2024-03-12,36.1,39.0,app,active
c0008,70,north,sme,2025-07-18,84.6,65.2,web,active
c0009,34,south,consumer,2025-08-02,62.6,40.8,app,active
c0010,23,west,consumer,2025-10-07,87.2,48.6,phone,active
c0011,49,central,consumer,2024-03-04,79.9,72.5,web,active
c0012,60,airport,consumer,2025-02-10,46.3,74.4,app,active
c0013,30,east,enterprise,2024-02-17,31.3,51.7,app,active
c0014,62,north,consumer,2024-05-16,94.1,81.0,app,active
c0015,37,south,sme,2024-05-27,54.5,52.8,phone,active
c0016,21,riverside,consumer,2025-08-07,42.7,50.9,web,active
c0017,30,south,sme,2025-11-29,72.1,55.4,app,active
c0018,56,west,consumer,2025-08-18,63.2,49.6,web,dormant
c0019,67,riverside,consumer,2024-07-11,50.3,65.5,app,dormant
c0020,67,north,sme,2025-07-14,55.5,60.8,app,active
c0021,30,central,sme,2025-07-31,63.6,40.8,phone,active
c0022,71,riverside,consumer,2024-07-29,62.2,58.9,app,active
c0023,52,south,consumer,2025-06-28,73.1,45.2,web,active
c0024,66,west,consumer,2024-11-17,55.3,44.5,app,active
c0025,23,riverside,consumer,2025-04-09,55.5,52.8,app,active
c0026,34,north,enterprise,2024-09-11,70.6,74.8,phone,active
c0027,53,west,sme,2024-09-06,66.0,60.7,web,dormant
c0028,22,central,consumer,2024-11-03,78.5,79.6,app,active
c0029,44,central,consumer,2024-12-17,57.0,85.2,app,active
c0030,63,west,consumer,2024-10-21,59.4,54.8,app,active
c0031,35,south,consumer,2024-04-30,42.5,44.0,web,active
c0032,69,west,consumer,2024-06-17,85.0,40.5,phone,dormant
c0033,58,east,consumer,2025-05-15,38.7,60.8,app,active
c0034,39,west,enterprise,2025-11-15,64.2,71.9,app,active
c0035,22,east,consumer,2025-07-25,46.7,85.5,app,active
c0036,36,airport,consumer,2024-11-17,66.4,30.7,app,active
c0037,51,central,sme,2024-12-24,72.9,73.0,phone,active
c0038,21,east,consumer,2025-08-16,34.8,75.8,app,active
c0039,32,central,consumer,2024-04-05,57.6,100.0,web,active
c0040,21,south,consumer,2025-12-14,32.9,59.1,app,active
c0041,67,west,sme,2024-03-03,83.5,54.9,app,active
c0042,24,east,consumer,2024-11-13,53.9,26.7,web,active
c0043,40,central,consumer,2025-11-28,35.8,40.8,web,active
c0044,47,east,consumer,2025-01-30,49.8,34.6,app,active
c0045,73,west,sme,2024-01-24,82.0,36.4,app,active
c0046,72,central,sme,2024-06-21,84.8,38.5,app,active
c0047,25,east,consumer,2025-05-20,81.3,26.5,app,active
c0048,19,riverside,sme,2024-10-21,48.5,53.8,app,active
c0049,31,south,consumer,2024-09-10,58.6,63.0,phone,active
c0050,71,central,consumer,2025-05-23,87.2,70.1,app,active
c0051,37,east,consumer,2025-04-04,49.3,53.8,app,active
c0052,56,east,consumer,2024-10-11,55.6,75.7,app,active
c0053,22,central,consumer,2025-03-16,45.7,75.9,phone,active
c0054,75,west,consumer,2025-12-24,42.4,26.8,web,active
c0055,34,east,enterprise,2025-11-30,80.3,50.5,app,suspended
c0056,54,north,consumer,2024-06-03,71.1,32.0,app,active
c0057,29,north,consumer,2024-06-03,68.2,37.1,web,active
c0059,26,west,consumer,2025-08-26,77.3,53.3,phone,active
c0060,52,central,consumer,2024-10-15,85.2,83.5,app,active
c0061,78,riverside,consumer,2025-03-05,60.9,94.6,web,dormant
c0062,33,central,consumer,2025-09-16,55.5,63.7,web,active
c0063,78,north,consumer,2024-05-08,44.6,52.1,partner api,active
c0064,58,east,consumer,2025-06-11,78.3,53.0,app,active
c0065,44,central,consumer,2025-11-23,52.8,55.6,web,active
c0066,21,south,consumer,2025-04-12,37.1,66.7,app,dormant
c0067,43,riverside,consumer,2025-07-26,56.7,41.9,web,dormant
c0068,46,riverside,consumer,2025-02-12,61.4,66.9,app,active
c0069,20,airport,sme,2025-05-08,74.3,51.2,phone,dormant
c0070,51,west,consumer,2024-03-04,77.1,75.9,app,active
c0071,59,airport,consumer,2024-08-01,49.3,81.7,phone,active
c0072,61,north,sme,2024-04-22,48.2,88.9,app,active
c0073,48,east,consumer,2024-02-23,55.7,52.9,phone,active
c0074,40,west,sme,2025-08-03,41.6,30.2,app,active
c0075,43,central,consumer,2024-04-13,59.2,23.9,app,active
c0076,70,west,enterprise,2024-01-27,68.4,50.3,app,active
c0077,59,north,sme,2024-07-31,61.7,29.0,web,active
c0078,40,east,consumer,2024-06-01,35.2,24.6,phone,active
c0079,61,east,consumer,2024-12-21,41.9,49.2,app,active
c0080,25,east,consumer,2025-04-30,81.6,37.2,app,active
c0081,42,south,consumer,2025-05-14,44.8,69.0,phone,active
c0082,49,east,consumer,2025-05-10,72.8,92.8,web,active
c0083,28,west,consumer,2024-05-27,71.1,51.7,app,dormant
c0084,33,airport,consumer,2024-12-16,55.8,61.9,web,active
c0085,76,airport,consumer,2025-05-05,45.0,26.0,app,active
c0086,65,west,sme,2025-06-12,64.4,59.5,app,active
c0087,49,west,consumer,2025-06-24,46.8,42.7,app,active
c0088,43,airport,enterprise,2025-12-07,58.2,35.2,app,active
c0089,40,riverside,consumer,2024-01-28,62.7,20.7,app,active
c0090,54,central,consumer,2025-10-20,49.5,86.5,app,active
c0091,40,airport,sme,2024-09-24,57.4,25.4,phone,active
c0092,49,riverside,consumer,2024-06-20,56.1,33.1,web,active
c0093,48,north,consumer,2024-08-16,41.2,56.3,app,active
c0094,22,riverside,consumer,2025-05-29,58.0,61.6,phone,active
c0095,23,south,sme,2024-08-16,50.8,61.7,app,suspended
c0097,46,airport,sme,2025-02-14,55.6,39.2,web,active
c0098,54,central,consumer,2024-08-20,56.5,70.7,app,dormant
c0099,33,north,consumer,2025-05-19,51.3,59.8,phone,active
c0100,34,central,consumer,2024-01-30,28.0,28.6,web,active
c0101,63,north,enterprise,2024-10-13,73.4,86.6,app,active
c0102,39,east,enterprise,2024-07-17,71.9,49.7,app,active
c0103,20,airport,consumer,2024-12-18,71.4,74.2,web,active
c0104,39,east,consumer,2024-12-23,66.2,28.6,app,active
c0105,47,central,enterprise,2024-08-13,40.9,33.6,app,active
c0106,22,central,consumer,2025-04-26,63.0,45.3,app,active
c0107,64,airport,consumer,2024-07-28,46.2,43.1,phone,dormant
c0108,39,central,consumer,2025-09-16,96.0,75.5,app,active
c0109,78,north,consumer,2025-10-30,52.7,25.4,app,dormant
c0111,67,west,consumer,2025-11-07,36.2,37.0,app,active
c0112,25,north,consumer,2025-02-01,42.1,66.1,app,active
c0113,38,west,consumer,2024-07-23,52.4,60.2,web,active
c0114,38,central,consumer,2024-07-01,72.2,45.8,app,active
c0115,38,airport,consumer,2025-10-13,69.8,98.5,web,active
c0116,64,riverside,consumer,2025-02-09,65.6,55.5,web,active
c0117,32,north,consumer,2024-03-27,31.3,77.2,app,active
c0118,20,south,consumer,2024-06-23,79.1,31.1,app,active
c0119,65,central,sme,2024-06-03,46.2,54.0,web,dormant
c0120,26,north,consumer,2025-04-21,86.8,58.0,app,active
c0121,25,south,consumer,2025-09-18,90.9,59.0,phone,active
c0122,40,central,consumer,2025-11-04,74.2,49.8,web,active
c0123,56,south,sme,2025-07-15,76.8,40.6,app,active
c0124,31,airport,consumer,2024-01-22,40.8,1.0,web,active
c0125,31,airport,consumer,2025-10-27,99.0,45.6,web,active
c0126,42,north,consumer,2024-05-22,64.5,39.0,app,active
c0127,32,west,sme,2024-07-18,77.0,51.5,web,active
c0128,34,airport,sme,2024-09-14,47.3,72.7,app,active
c0129,24,riverside,consumer,2025-05-28,60.0,98.6,app,active
c0130,46,south,consumer,2025-08-23,42.0,66.6,app,active
c0131,68,south,consumer,2025-07-11,57.2,75.8,web,active
c0132,56,riverside,consumer,2024-05-14,61.2,68.4,app,active
c0133,74,riverside,consumer,2024-12-28,65.1,70.3,web,active
c0134,22,south,sme,2025-08-20,83.3,67.7,app,active
c0135,65,west,consumer,2025-05-28,68.7,51.6,app,active
c0137,57,airport,consumer,2024-01-20,61.6,62.9,app,active
c0138,74,south,consumer,2024-07-06,93.2,90.8,web,active
c0139,60,central,sme,2024-06-02,51.7,71.5,app,active
c0140,21,airport,consumer,2025-04-29,80.0,87.2,partner api,active
c0141,37,west,consumer,2024-05-03,29.6,32.1,partner api,dormant
c0142,29,south,consumer,2024-11-29,47.0,61.7,app,active
c0144,54,south,consumer,2024-04-18,58.4,66.6,phone,active
c0146,20,north,consumer,2024-02-13,99.0,21.7,app,active
c0147,28,north,enterprise,2025-04-08,36.7,16.4,app,active
c0148,26,east,sme,2024-03-05,43.9,49.2,app,active
c0149,63,north,consumer,2025-09-19,58.7,100.0,app,active
c0150,58,north,consumer,2025-06-08,88.8,60.9,app,active
c0151,20,north,consumer,2024-10-10,79.2,33.8,app,suspended
c0152,61,west,consumer,2025-06-30,66.2,63.3,app,dormant
c0153,49,central,sme,2024-09-10,38.4,51.1,app,active
c0154,23,east,sme,2024-09-22,47.5,60.1,phone,active
c0155,24,north,consumer,2024-07-26,18.1,48.3,app,active
c0157,50,central,consumer,2025-03-28,67.9,46.8,app,active
c0158,57,riverside,consumer,2025-11-18,73.7,70.5,web,active
c0159,37,riverside,consumer,2024-03-15,40.2,62.7,web,dormant
c0160,57,south,consumer,2024-11-06,62.8,80.2,phone,suspended
c0161,42,north,consumer,2024-06-07,87.1,36.6,app,active
c0162,61,airport,enterprise,2025-11-07,63.7,76.9,web,suspended
c0163,55,riverside,sme,2024-09-16,56.2,58.2,app,active
c0164,78,west,consumer,2024-08-12,70.9,60.8,app,active
c0165,39,airport,consumer,2025-02-11,69.5,80.8,app,active
c0167,72,central,consumer,2025-12-24,52.5,62.0,app,active
c0168,70,riverside,consumer,2025-02-17,54.3,69.4,web,active
c0170,51,south,sme,2024-04-04,52.3,72.8,partner api,active
c0171,47,south,consumer,2024-01-20,82.4,81.9,phone,active
c0173,76,riverside,consumer,2024-01-19,78.5,49.1,app,suspended
c0174,74,north,consumer,2025-06-13,93.5,100.0,app,active
c0175,37,central,consumer,2025-06-08,86.4,56.9,app,active
c0176,43,north,sme,2024-08-22,83.8,64.7,web,active
c0177,39,east,consumer,2024-09-28,67.0,43.4,app,suspended
c0178,45,east,consumer,2024-07-04,58.0,16.1,phone,active
c0179,38,south,consumer,2024-05-12,97.9,42.8,app,active
c0180,64,west,consumer,2025-11-23,50.3,58.9,phone,active
c0181,41,west,consumer,2024-06-01,51.2,67.7,app,dormant
c0182,21,east,enterprise,2025-06-11,47.2,58.2,app,dormant
c0183,44,central,sme,2025-12-18,64.5,72.8,app,active
c0184,59,south,sme,2024-10-12,67.8,76.5,app,active
c0185,40,south,consumer,2025-12-05,77.5,76.4,phone,suspended
c0186,56,east,consumer,2024-03-15,57.5,57.8,phone,dormant
c0188,44,south,sme,2024-09-23,66.2,53.6,app,active
c0189,48,riverside,consumer,2024-08-15,76.6,41.1,app,active
c0190,39,airport,consumer,2024-05-04,61.6,84.8,app,active
c0191,27,north,consumer,2024-12-13,58.9,34.1,web,active
c0192,45,east,consumer,2024-10-01,70.1,56.4,app,active
c0193,20,south,consumer,2024-02-14,84.0,62.1,app,active
c0194,57,west,sme,2024-09-01,60.0,17.1,app,dormant
c0195,41,south,consumer,2024-09-25,38.3,71.9,web,active
c0196,72,west,enterprise,2024-07-25,52.0,51.1,web,active
c0197,29,riverside,consumer,2024-11-08,58.4,62.0,app,active
c0198,53,east,sme,2024-07-29,32.2,51.5,app,active
c0199,64,central,consumer,2025-05-27,73.4,28.6,phone,active
c0200,36,central,consumer,2024-10-04,48.8,61.5,phone,active
c0201,49,central,consumer,2024-01-19,69.2,59.8,app,active
c0204,78,riverside,consumer,2025-06-10,87.1,25.8,app,active
c0205,62,central,consumer,2025-04-02,52.1,78.7,web,active
c0206,60,south,sme,2025-10-27,50.3,72.9,app,active
c0207,54,central,consumer,2025-05-21,65.7,72.4,app,active
c0208,48,central,enterprise,2025-02-06,74.5,67.0,phone,dormant
c0209,33,central,consumer,2025-12-05,61.0,44.4,app,dormant
c0210,33,north,consumer,2024-12-16,45.3,67.9,app,active
c0211,29,riverside,enterprise,2025-12-24,72.1,50.9,web,active
c0212,27,riverside,consumer,2024-05-23,70.7,100.0,web,dormant
c0213,53,east,consumer,2024-02-25,94.2,53.3,app,active
c0214,34,central,consumer,2024-03-13,57.5,36.7,app,active
c0215,67,north,sme,2024-09-18,64.4,51.4,app,active
c0216,50,riverside,consumer,2024-02-26,51.9,85.2,app,active
c0217,30,airport,consumer,2025-01-25,37.2,47.0,web,active
c0218,32,central,consumer,2024-10-15,62.2,11.4,app,active
c0219,29,central,consumer,2025-12-10,74.6,85.7,web,active
c0220,47,south,sme,2025-04-15,44.8,64.0,web,dormant
c0221,53,east,consumer,2024-10-02,50.2,48.4,app,active
c0222,36,south,sme,2024-09-26,42.2,71.4,web,active
c0224,63,north,sme,2024-02-05,50.9,35.5,web,active
c0225,39,riverside,sme,2024-12-31,70.3,75.9,app,active
