delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,missing_proof
dl00001,o00938,d004,v056,h05,10:57:00,09:05:59,failed,17.26,1,False,3.07,12.05,0
dl00002,o00004,d138,v007,h02,18:45:00,17:39:00,ontime,10.34,1,False,5.0,13.41,0
dl00003,o00639,d006,v049,h02,20:39:00,21:45:32,ontime,7.92,0,False,4.98,8.51,0
dl00004,o00313,d116,v055,h02,23:31:00,23:30:08,delayed,16.42,0,False,4.18,13.62,0
dl00005,o00844,d108,v034,h01,11:43:00,15:45:34,ontime,14.52,1,False,4.18,9.22,0
dl00006,o00029,d037,v098,h03,12:40:00,17:11:52,delayed,13.84,0,False,1.57,9.58,0
dl00007,o00097,d151,v037,h07,13:41:00,23:39:11,delayed,32.72,0,False,4.64,17.7,0
dl00008,o00207,d082,v066,h03,21:34:00,23:22:21,ontime,7.16,1,False,3.76,11.66,0
dl00009,o00297,d088,v029,h05,21:33:00,01:18:52,ontime,40.23,1,False,3.7,15.78,0
dl00010,o00836,d058,v057,h08,19:09:00,01:15:29,failed,9.85,1,False,3.2,9.31,0
dl00011,o00202,d074,v117,h04,03:09:00,02:29:05,ontime,13.85,0,False,4.36,15.17,0
dl00013,o01031,d105,v085,h04,08:29:00,10:33:30,ontime,6.01,2,False,3.96,11.52,0
dl00014,o00725,d102,v008,h05,12:40:00,20:50:43,ontime,16.46,0,False,3.67,11.74,0
dl00015,o00394,d067,v056,h04,22:47:00,08:15:56,ontime,26.58,3,False,4.47,21.64,0
dl00016,o01220,d010,v091,h08,01:47:00,04:51:00,ontime,18.25,1,False,5.0,12.61,0
dl00017,o01249,d002,v008,h05,18:26:00,03:05:42,delayed,20.79,0,False,1.0,15.62,0
dl00018,o00611,d011,v001,h01,10:52:00,09:54:19,ontime,13.67,0,False,4.46,16.18,0
dl00019,o01167,d026,v004,h06,23:58:00,07:52:41,ontime,16.35,4,False,4.97,13.97,0
dl00020,o00054,d157,v065,h01,12:59:00,14:40:37,ontime,24.31,0,False,4.15,12.61,0
dl00021,o00250,d117,v081,h08,14:20:00,11:20:52,ontime,9.77,4,False,4.07,6.43,0
dl00022,o01027,d088,v011,h07,00:21:00,04:25:39,failed,15.81,0,False,3.5,15.62,0
dl00023,o00768,d046,v021,h08,01:16:00,02:37:11,ontime,4.29,1,False,5.0,2.5,0
dl00024,o01054,d045,v029,h02,14:33:00,18:11:44,ontime,8.58,0,False,4.78,14.62,0
dl00025,o00288,d130,v098,h04,19:57:00,22:37:15,ontime,7.41,0,False,5.0,7.2,0
dl00026,o00906,d092,v055,h04,11:16:00,01:48:45,failed,14.27,2,False,2.23,10.04,0
dl00027,o00827,d057,v054,h02,03:20:00,00:13:30,ontime,13.27,0,False,4.15,9.05,0
dl00028,o00087,d165,v022,h08,15:52:00,04:15:00,delayed,15.53,2,False,2.7,13.05,0
dl00029,o00723,d126,v086,h07,06:49:00,04:38:00,ontime,9.43,1,False,3.72,8.72,0
dl00030,o00780,d034,v068,h03,18:57:00,19:22:12,ontime,7.71,1,False,4.1,16.42,0
dl00031,o00830,d037,v061,h01,23:32:00,23:21:38,ontime,12.06,0,False,4.1,14.98,0
dl00032,o00010,d045,v010,h08,02:58:00,05:57:46,ontime,15.58,1,False,4.23,13.75,0
dl00033,o00885,d041,v075,h06,14:01:00,06:51:25,failed,11.72,0,True,4.13,18.12,1
dl00034,o01081,d157,v110,h04,12:01:00,05:14:57,delayed,14.68,0,False,4.4,9.44,0
dl00035,o00275,d015,v038,h07,21:35:00,01:56:14,ontime,22.05,0,False,4.96,14.78,0
dl00036,o00652,d158,v106,h06,22:14:00,04:09:12,ontime,15.77,1,False,4.35,13.68,0
dl00037,o00185,d010,v113,h05,02:24:00,02:10:07,ontime,23.49,1,False,4.21,11.21,0
dl00038,o00727,d096,v002,h02,15:31:00,16:43:11,failed,8.82,2,False,3.43,13.21,0
dl00039,o00542,d090,v034,h08,15:58:00,04:22:45,failed,17.13,1,False,2.51,16.3,0
dl00040,o00919,d027,v036,h04,08:38:00,04:04:35,failed,9.53,1,False,1.68,11.11,0
dl00041,o00750,d100,v057,h08,08:58:00,19:53:37,failed,15.88,3,True,2.94,13.19,1
dl00042,o00009,d146,v020,h01,01:05:00,10:49:54,ontime,12.02,0,False,4.45,11.41,0
dl00043,o00453,d110,v039,h07,15:46:00,20:31:28,ontime,11.94,0,False,4.24,11.81,0
dl00044,o00147,d049,v020,h01,09:47:00,12:20:42,ontime,4.63,0,False,4.34,12.87,0
dl00045,o00924,d157,v051,h08,00:32:00,21:03:01,ontime,10.61,1,False,5.0,14.13,0
dl00046,o00101,d088,v046,h05,07:35:00,06:59:41,ontime,5.53,2,False,3.09,11.27,0
dl00047,o00263,d045,v091,h06,04:07:00,03:46:04,ontime,16.33,0,False,5.0,10.25,0
dl00048,o00358,d045,v093,h05,13:40:00,18:11:50,delayed,7.37,0,False,3.33,14.67,0
dl00049,o01076,d091,v018,h02,01:23:00,07:46:30,ontime,12.55,0,False,3.52,6.93,0
