order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag
o00001,c0292,passenger,2024-08-20 14:43:00,6,airport,south,medium,126.65,app,False
o00002,c0459,passenger,2024-05-14 22:16:00,24,north,airport,low,109.3,app,False
o00003,c0161,passenger,2025-09-02 14:37:00,4,west,airport,high,33.5,phone,False
o00004,c0520,parcel,2025-01-11 17:15:00,2,riverside,north,medium,10.04,app,True
o00005,c0558,retail,2025-02-17 19:32:00,12,riverside,south,low,125.58,phone,False
o00006,c0437,retail,2024-08-05 04:55:00,1,central,east,high,151.44,web,True
o00007,c0001,business,2024-05-05 21:32:00,2,central,airport,low,76.12,app,False
o00008,c0157,parcel,2024-04-03 17:54:00,4,riverside,riverside,medium,35.06,phone,False
o00009,c0141,retail,2024-10-03 23:49:00,12,north,east,critical,78.93,app,False
o00010,c0171,retail,2025-01-29 00:42:00,6,south,north,low,34.55,phone,False
o00011,c0340,parcel,2025-08-04 04:19:00,12,west,central,low,79.1,phone,False
o00012,c0567,business,2024-01-16 12:45:00,12,east,airport,medium,135.67,app,False
o00013,c0234,retail,2024-03-29 22:11:00,24,airport,central,medium,302.7,app,False
o00014,c0318,passenger,2024-08-25 10:12:00,6,ctr,ctr,low,90.96,phone,False
o00015,c0300,business,2025-11-09 03:04:00,6,south,east,high,145.58,web,False
o00016,c0022,parcel,2025-07-29 11:51:00,6,central,ctr,medium,92.66,app,False
o00017,c0499,parcel,2025-05-27 09:12:00,24,airport,south,low,60.9,app,False
o00018,c0506,passenger,2024-03-08 22:19:00,6,north,riverside,high,121.11,phone,False
o00019,c0425,passenger,2024-03-31 07:18:00,6,north,central,low,56.26,phone,False
o00020,c0249,retail,2024-05-09 22:25:00,2,west,airport,medium,100.78,app,False
o00021,c0218,passenger,2024-10-16 11:25:00,2,west,north,medium,49.99,web,False
o00022,c0594,retail,2025-04-20 20:56:00,12,riverside,central,medium,134.88,phone,False
o00023,c0077,passenger,2025-10-05 04:59:00,4,north,north,medium,122.25,app,False
o00024,c0397,passenger,2024-10-10 05:01:00,6,south,riverside,high,132.2,app,True
o00025,c0297,passenger,2025-01-10 21:51:00,6,north,riverside,critical,66.51,app,False
o00026,c0193,parcel,2025-11-10 22:22:00,24,east,west,high,51.09,app,False
o00027,c0024,parcel,2025-02-26 00:42:00,4,riverside,north,medium,96.62,app,False
o00028,c0160,retail,2025-12-21 22:29:00,4,north,south,high,59.44,app,False
o00029,c0366,medical,2024-09-11 12:22:00,24,east,ctr,medium,190.94,web,False
o00030,c0406,medical,2025-10-05 03:11:00,12,north,east,low,44.84,app,False
o00031,c0573,passenger,2024-10-25 03:17:00,24,east,airport,medium,55.14,app,False
o00032,c0297,passenger,2025-09-15 23:14:00,1,central,east,medium,126.43,app,True
o00033,c0471,retail,2025-12-30 21:02:00,6,north,east,low,36.7,phone,True
o00034,c0023,retail,2025-02-18 01:38:00,2,north,south,low,40.88,app,False
o00035,c0524,business,2024-06-14 13:12:00,4,north,central,medium,209.07,web,False
o00036,c0126,parcel,2024-11-06 04:24:00,4,riverside,north,medium,73.14,app,False
o00037,c0015,retail,2024-02-10 17:19:00,24,east,airport,low,119.31,phone,False
o00038,c0142,retail,2025-10-06 20:11:00,2,riverside,east,medium,168.48,phone,False
o00039,c0351,parcel,2025-08-01 07:36:00,6,east,riverside,low,54.85,web,True
o00040,c0014,parcel,2025-05-24 22:33:00,1,north,airport,low,74.65,app,False
o00041,c0243,retail,2024-09-17 13:42:00,12,riverside,west,low,19.15,app,False
o00042,c0606,retail,2025-12-01 18:22:00,24,riverside,ctr,medium,133.72,phone,True
o00043,c0416,retail,2024-01-01 03:53:00,12,east,riverside,medium,48.59,api,False
o00044,c0227,business,2025-11-02 09:57:00,4,west,riverside,medium,61.45,phone,True
o00046,c0538,parcel,2025-12-13 01:15:00,4,north,central,high,85.48,app,False
o00047,c0220,medical,2025-11-28 03:02:00,2,west,north,medium,39.57,app,False
o00048,c0145,medical,2024-11-22 06:49:00,4,riverside,north,low,43.37,app,False
o00049,c0380,passenger,2024-12-19 23:58:00,2,west,south,low,66.46,phone,True
o00050,c0544,passenger,2024-03-29 13:44:00,1,north,ctr,low,33.93,app,False
o00051,c0185,business,2025-02-07 23:39:00,12,airport,east,critical,14.48,web,True
o00052,c0150,retail,2024-08-14 08:33:00,12,north,riverside,medium,293.65,api,False
o00053,c0054,parcel,2024-04-02 11:27:00,24,east,east,low,73.56,app,False
o00054,c0478,medical,2025-03-29 10:44:00,4,north,north,low,54.41,web,False
o00055,c0454,retail,2025-05-30 23:44:00,2,airport,riverside,medium,73.7,app,False
o00056,c0271,parcel,2025-10-05 20:28:00,4,south,central,high,160.35,web,False
o00057,c0226,business,2025-06-04 01:43:00,4,east,north,medium,194.03,app,False
o00058,c0083,passenger,2025-12-16 06:27:00,2,south,east,critical,51.95,web,False
o00059,c0640,passenger,2025-11-20 16:54:00,2,central,airport,medium,20.32,web,False
o00060,c0258,medical,2024-05-10 15:48:00,6,north,east,critical,37.52,web,False
o00061,c0289,passenger,2024-07-12 01:44:00,6,airport,north,high,238.9,web,True
o00062,c0177,passenger,2025-07-26 08:11:00,4,west,airport,medium,45.44,web,False
o00063,c0168,retail,2025-07-13 05:49:00,12,south,airport,low,57.56,app,False
o00064,c0346,business,2025-10-14 07:34:00,12,central,riverside,high,45.43,app,False
o00065,c0285,parcel,2024-09-23 07:03:00,4,south,west,high,61.59,app,False
